country,year,population_total,gdp_per_capita
Luxembourg,2018,607950,116654.2611
"Macao SAR, China",2018,631636,87208.53591
Madagascar,2018,26262368,527.5013261
Malawi,2018,18143315,381.2589876
Malaysia,2018,31528585,11377.455
Maldives,2018,515696,10276.93282
Mali,2018,19077690,894.8021869
Malta,2018,484630,30437.22151
Marshall Islands,2018,58413,3788.163594
Mauritania,2018,4403319,1600.876469
Mauritius,2018,1265303,11208.34382
Mexico,2018,126190788,9686.513783
"Micronesia, Fed. Sts.",2018,112640,3568.291016
Moldova,2018,2706049,4233.743437
Monaco,2018,38682,185829.018
Mongolia,2018,3170208,4134.987198
Montenegro,2018,622227,8846.056525
Morocco,2018,36029138,3222.200634
Mozambique,2018,29495962,503.3187272
Myanmar,2018,53708395,1418.177623
Namibia,2018,2448255,5495.428925
Nauru,2018,12704,9762.389302
Nepal,2018,28087871,1038.651647
Netherlands,2018,17231624,53044.53244
New Zealand,2018,4841000,42949.93058
Nicaragua,2018,6465513,2020.55193
Niger,2018,22442948,572.4271543
Nigeria,2018,195874740,2027.777979
North Macedonia,2018,2082958,6088.972445
Northern Mariana Islands,2018,56882,23258.67586
Norway,2018,5311916,81734.46557
Oman,2018,4829483,16521.18228
Pakistan,2018,212215030,1482.305667
Palau,2018,17907,15660.6746
Panama,2018,4176873,15592.57368
Papua New Guinea,2018,8606316,2801.373997
Paraguay,2018,6956071,5805.675616
Peru,2018,31989256,6941.235848
Philippines,2018,106651922,3252.092324
Poland,2018,37974750,15468.48222
Portugal,2018,10283822,23562.55452
Puerto Rico,2018,3193354,31621.89347
Qatar,2018,2781677,65908.0669
Romania,2018,19472545,12399.88934
Russian Federation,2018,144477860,11370.81346
Rwanda,2018,12301939,783.2871842
Samoa,2018,196130,4188.528346
San Marino,2018,33785,48995.142
Sao Tome and Principe,2018,211028,1953.58829
Saudi Arabia,2018,33699947,23338.96346
Senegal,2018,15854360,1465.591006
Serbia,2018,6982604,7252.401858
Seychelles,2018,96762,16390.82491
Sierra Leone,2018,7650154,533.9911843
Singapore,2018,5638676,66188.7794
Sint Maarten (Dutch part),2018,40654,29160.10381
Slovak Republic,2018,5446771,19406.34753
Slovenia,2018,2073894,26115.91337
Solomon Islands,2018,652858,2441.517393
South Africa,2018,57779622,6374.028196
Spain,2018,46797754,30389.36099
Sri Lanka,2018,21670000,4080.567125
St. Kitts and Nevis,2018,52438,19276.52127
St. Lucia,2018,181889,11357.88901
St. Vincent and the Grenadines,2018,110210,7361.400962
Sudan,2018,41801533,623.8672524
Suriname,2018,575987,6015.164607
Sweden,2018,10175214,54589.06039
Switzerland,2018,8514329,82818.10816
Tajikistan,2018,9100837,826.6215305
Tanzania,2018,56318348,1060.994615
Thailand,2018,69428524,7295.475616
Timor-Leste,2018,1267972,1230.228191
Togo,2018,7889094,679.9727606
Tonga,2018,103197,4740.792149
Trinidad and Tobago,2018,1389858,17129.91309
Tunisia,2018,11565204,3438.789089
Turkey,2018,82319724,9455.593654
Turkmenistan,2018,5850908,6966.635411
Turks and Caicos Islands,2018,37665,29554.70596
Tuvalu,2018,11508,3700.744263
Uganda,2018,42723139,770.4524533
Ukraine,2018,44622518,3096.817402
United Arab Emirates,2018,9630959,43839.35635
England,2018,66460344,43043.22782
United States,2018,326687501,62996.47129
Uruguay,2018,3449299,17277.97011
Uzbekistan,2018,32956100,1529.082864
Vanuatu,2018,292680,3125.257989
Vietnam,2018,95540395,2566.59695
West Bank and Gaza,2018,4569087,3562.330943
"Yemen, Rep.",2018,28498687,824.1176287
Zambia,2018,17351822,1516.390661
Zimbabwe,2018,14439018,1683.740577
West Indies,2018,38527486,6860.60721
